[-12.097569965802862, -77.04334991846389]
[-12.09833996933807, -77.04348989624692]
[-12.098699972079459, -77.04198995467368]
[-12.099189978139094, -77.0398899526521]
[-12.099889950873276, -77.03775994341716]
[-12.097729976334477, -77.04219992134823]
[-12.096679975323696, -77.04233989913125]
[-12.096559946470222, -77.04153993029219]
[-12.096389961473832, -77.04054994370814]
[-12.09769996912111, -77.04133993808243]
[-12.097849963278435, -77.04140992697394]
[-12.09815996796739, -77.04021994818012]
[-12.096999954477411, -77.039799931012]
[-12.09757994026765, -77.03881991889273]
[-12.098409958229595, -77.03930992495236]
[-12.095459947406994, -77.03535995308094]
[-12.094579973302118, -77.03506993923106]
[-12.094029952815745, -77.03488989595085]
[-12.093519955917031, -77.03469987820587]
[-12.092349967962292, -77.03421993043004]
[-12.092489945745328, -77.03532994586757]
[-12.093979954763313, -77.03508988816063]
[-12.09376994617925, -77.03596990417502]
[-12.092599958224497, -77.0361799546686]
[-12.092899946539148, -77.03695989075906]
[-12.09353994675611, -77.0368499201894]
[-12.094709976620365, -77.03665990244441]
[-12.094829963564322, -77.03743992235393]
[-12.093009959018332, -77.03774988513335]
[-12.092939970126807, -77.03863987561252]
[-12.094959966882584, -77.03834994558169]
[-12.095079953826541, -77.0392598849904]
[-12.093059957070764, -77.0395399243755]
[-12.093179944014722, -77.04033989321456]
[-12.093289956493905, -77.04115989480222]
[-12.093579970343768, -77.04196992192509]
[-12.093509939542741, -77.04277994904797]
[-12.093679966448661, -77.04391988787982]
[-12.094589947766906, -77.04378988456158]
[-12.094019978350971, -77.04501992885257]
[-12.094739941924217, -77.0448998999991]
[-12.093989971137603, -77.04615995150347]
[-12.094169972508297, -77.04731992308392]
[-12.094509942501091, -77.0483899568433]
[-12.094649962193628, -77.04949988846178]
[-12.094789939976664, -77.05049993332965]
[-12.094759974672812, -77.05180994097694]
[-12.09560994156432, -77.05168991212346]
[-12.095769952095935, -77.05271988038567]
[-12.09517994993142, -77.05282993477435]
[-12.095269971571526, -77.05453992684117]
[-12.094809972725258, -77.05541994285556]
[-12.094369964718055, -77.05629987505093]
[-12.093989971137603, -77.05715994213575]
[-12.093809969766909, -77.0578899220833]
[-12.092302124877671, -77.03387033846981]
[-12.094739941924217, -77.05748993766377]
[-12.095139968253278, -77.05669994328949]
[-12.095579976260467, -77.0558199272751]
[-12.09651996479208, -77.05627992612136]
[-12.09608997315918, -77.05716991660053]
[-12.095679972365346, -77.05696992439077]
[-12.095269971571526, -77.05772991155169]
[-12.095089970200831, -77.05837992814294]
[-12.095439956567915, -77.05850993146119]
[-12.095709937669199, -77.05793987822624]
[-12.096609944522669, -77.05840993535631]
[-12.09751996775043, -77.05679993939437]
[-12.098579943225985, -77.05733990159693]
[-12.098969953180742, -77.05752991934192]
[-12.092364950614218, -77.05428490743707]
[-12.100769966887668, -77.05845989149924]
[-12.109315786188692, -77.05245712498348]
[-12.109315786188692, -77.05245712498348]
[-12.10039994777199, -77.05923991140874]
